hola Hallo
adios Tschüss
casa heim
perro Hund
gato Katze
manzana Apfel
naranja orange
plátano Banane
coche Auto
autobús Bus
tren Zug
avión Flugzeug
bicicleta Fahrrad
libro Buch
cuaderno Notizbuch
lápiz Bleistift
bolígrafo Stift
computadora Computer
teléfono Telefon
televisión Fernsehen
pantalla Bildschirm
cama Bett
mesa Tisch
silla Stuhl
ventana Fenster
puerta Tür
jardín Garten
árbol Baum
flores Blumen
playa Strand
río Fluss
montaña Berg
ciudad Stadt
país Land
nube Wolke
sol Sonne
luna Mond
estrella Stern
número Nummer
letra Brief
palabra Wort
frase Phrase
verde Grün
azul Blau
rojo Rot
amarillo Gelb
blanco Weiß
negro Schwarz
gris grau
feliz Glücklich
triste traurig
enfadado wütend
sorprendido überrascht
cansado müde
hambriento hungrig
sediento durstig
caliente heiß
frío kalt
grande groß
pequeño wenig
alto hoch
bajo niedrig
largo lang
oso tragen
rápido schnell
lento langsam
nuevo neu
viejo alt
limpio sauber
sucio schmutzig
rico reich
pobre arm
bueno Also
malo schlecht
pantalon Hose
camisa Hemd
uno eins
tierra Land
tesoro Schatz
edificio Gebäude
diez zehn
cien hundert
verde Grün
motor Motor
toalla Handtuch
zapato Schuh
hoja Blatt
planta Anlage
techo Decke
bello Schön
bar Bar
nuez Nuss
mochila Rucksack
tenedor Gabel
hora Stunde
minuto Minute
segundo zweite
mes Monat
semana Woche
control Kontrolle
