hola salut 
adios adieu
casa maison
perro chien
gato chat
manzana pomme
naranja orange
platano banane
coche voiture
autobus bus 
tren former
avion avion
bicicleta velo
libro livre
cuaderno cahier
lapiz crayon
bolígrafo stylo
computadora ordinateur
telefono telephone
television television
pantalla ecran
cama lit
mesa tableau
silla chaise
ventana fenetre
puerta porte
jardin jardin
arbol arbre
flores fleurs
playa plage
rio riviere
montana montagne
ciudad ville
pais pays

nube nuage
sol soleil
luna lune
estrella étoile
número nombre
letra lettre
palabra mot
frase phrase
verde vert
azul bleu
rojo rouge
amarillo jaune
blanco blanc
negro noir
gris gris
feliz heureux
triste triste
enfadado fâché
sorprendido surpris
cansado fatigué
hambriento affamé
sediento assoiffé
caliente chaud
frío froid
grande grand
pequeño petit
alto grand
bajo bas
largo longue
oso ours
rápido rapide
lento lent
nuevo nouveau
viejo vieux

limpio	propre
sucio	sale
rico	riche
pobre	pauvre
bueno	bon
malo	mauvais
pantalon pantalon
camisa	chemise
uno	un
tierra	atterrir
tesoro	trésor
edificio bâtiment
diez	dix
cien	cent
verde	vert
motor	moteur
toalla	serviette
zapato	chaussure
hoja	feuille
planta	usine
techo	plafond
bello	beau
bar	bar
nuez	noix
mochila	cartable
tenedor	fourchette
hora	heure
minuto	minute
segundo	deuxième
mes	mois
semana	semaine
control	contrôle
